"word_rank","word","frequency"
313,DEVIL,36189
314,TOMMY,35690
315,STARS,35549
316,FOLKS,35431
317,SHOWS,35209
318,BLIND,35066
319,GHOST,35051
320,TIGHT,34972
321,TELLS,34873
322,SPEED,34794
323,TRIAL,34375
324,OUGHT,34342
325,SPOKE,34035
326,ANGEL,33922
327,SUPER,33639
328,PLAYS,33550
329,AMONG,33190
330,COLOR,32837
331,PHOTO,32757
332,SIGHT,32715
333,GAMES,32623
334,COACH,32471
335,SERVE,32190
336,IDEAS,32182
337,OLDER,32130
338,TRICK,31937
339,TEETH,31615
340,TRULY,31514
341,BOBBY,31434
342,NURSE,31406
343,CHAIR,30826
344,HURTS,30804
345,ROGER,30768
346,BROWN,30395
347,HEADS,30350
348,SHIRT,30183
349,GUEST,30128
350,BEGAN,30049
351,CARDS,29871
352,BALLS,29799
353,ENDED,29775
354,USUAL,29636
355,AWARE,29598
356,PROOF,29430
357,CREAM,29378
358,TOTAL,29264
359,THREW,29223
360,BIRTH,29167
361,NOISE,29049
362,BIRDS,29028
363,BUCKS,28842
364,FOCUS,28619
365,OPENS,28532
366,EXIST,28526
367,ISSUE,28140
368,SWORD,27928
369,KINDA,27662
370,MAYOR,27530
371,LINES,27383
372,SPLIT,27273
373,ALARM,27116
374,SLEPT,27077
375,ENTER,27074
376,BRAVE,26990
377,MODEL,26977
378,BASED,26829
379,SCREW,26824
380,CARES,26777
381,STYLE,26569
382,SPARE,26393
383,SHAKE,26384
384,LOOSE,26356
385,PAINT,26174
386,NAKED,26122
387,SUGAR,26110
388,DOORS,26020
389,BLOCK,25785
390,FANCY,25771
391,CHEST,25688
392,TRADE,25560
393,MARIA,25422
394,STORM,25143
395,JERRY,24979
396,LOVER,24842
397,BREAD,24828
398,LEGAL,24785
399,OWNER,24722
400,TREES,24400
401,ROUGH,24370
402,PARTS,24186
403,CASES,24023
404,CLOCK,23907
405,OCEAN,23905
406,THIEF,23870
407,BLEEP,23861
408,SMITH,23799
409,BONES,23635
410,PLANT,23599
411,BLESS,23587
412,CRASH,23547
413,LOWER,23529
414,EVENT,23463
415,SHAPE,23460
416,ROYAL,23448
417,CHEAP,23430
418,TEARS,23377
419,AVOID,23374
420,KELLY,23313
421,GROWN,23266
422,GIANT,23227
423,WOODS,23211
424,SCARE,23192
425,STOPS,23086
426,LAURA,23050
427,CHINA,22926
428,HIRED,22838
429,WALLS,22247
430,GRANT,22210
431,SCARY,22035
